Round 1
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Santa Fe Southsiders,Christian McCaffrey RB | SF ,,,109.0,96.4
2,Shmickle the Pickle,Dalvin Cook RB | ,,7 sec,182.6,147.9
3,Dewstruction,Derrick Henry RB | BAL,,8 sec,196.5,184.3
4,Roswell Aliens,Ezekiel Elliott RB | ,,16 sec,233.2,220.1
5,K9-LB,Alvin Kamara RB | NO ,,60 sec,194.0,194.0
6,Espanola chile,Jonathan Taylor RB | IND ,,9 sec,344.1,325.2
7,SaQUADs Barkley,Saquon Barkley RB | PHI ,,25 sec,123.1,73.9
8,Muscle Beach,Austin Ekeler RB | WAS,,11 sec,285.4,285.4
9,Deer Valley Vandals,Aaron Jones RB | MIN ,,18 sec,225.5,201.7
10,Colorado Caribou,Najee Harris RB | NYG ,,13 sec,259.1,194.9
11,South Valley Gators,Davante Adams WR | LAR ,,24 sec,287.8,274.3
12,Jew Breez,Travis Kelce TE | KC,,11 sec,260.9,206.5
Round 2
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Jew Breez,Nick Chubb RB | HOU ,,24 sec,199.8,199.8
2,South Valley Gators,Joe Mixon RB | HOU ,,1 min 20 sec,311.3,258.1
3,Colorado Caribou,Antonio Gibson RB | NE,,6 sec,190.5,170.3
4,Deer Valley Vandals,Tyreek Hill WR | MIA ,,33 sec,283.1,241.7
5,Muscle Beach,George Kittle TE | SF ,,20 sec,170.6,160.0
6,SaQUADs Barkley,Clyde Edwards-Helaire RB | KC,,10 sec,117.5,47.6
7,Espanola chile,Patrick Mahomes QB | KC ,,3 sec,498.9,385.1
8,K9-LB,Chris Carson RB | ,,56 sec,46.1,46.1
9,Roswell Aliens,Stefon Diggs WR | WAS ,,54 sec,227.1,215.4
10,Dewstruction,Darren Waller TE | CAR ,,11 sec,113.9,102.8
11,Shmickle the Pickle,James Robinson RB | ,,24 sec,160.8,157.8
12,Santa Fe Southsiders,Calvin Ridley WR | TEN ,,14 sec,55.6,55.6
Round 3
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Santa Fe Southsiders,DeAndre Hopkins WR | BAL,,15 sec,126.2,126.2
2,Shmickle the Pickle,A.J. Brown WR | NE ,,57 sec,157.3,95.5
3,Dewstruction,DK Metcalf WR | PIT ,,19 sec,198.5,198.5
4,Roswell Aliens,David Montgomery RB | HOU ,,49 sec,166.1,148.2
5,K9-LB,Justin Jefferson WR | MIN,,39 sec,258.9,258.9
6,Espanola chile,Keenan Allen WR | IND ,,7 sec,196.6,172.3
7,SaQUADs Barkley,Allen Robinson WR | DET,,54 sec,62.8,19.6
