Round 1
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Tulsa Trailer Trash,Jonathan Taylor RB | IND ,,,135.4,135.4
2,Espanola Hornets,Alvin Kamara RB | NO ,,26 sec,187.3,168.5
3,Springfield Psycho Chickens,Justin Jefferson WR | MIN,,55 sec,313.1,299.1
4,Roswell Aliens,Christian McCaffrey RB | SF ,,29 sec,368.1,291.6
5,Oakland Blue Meanies,Cooper Kupp WR | SEA,,11 sec,165.0,165.0
6,Baltimore Ragin' Asians,Austin Ekeler RB | WAS,,3 min 7 sec,339.5,314.2
7,Dr Evil,Derrick Henry RB | BAL,,11 sec,289.3,276.0
8,Westside Shadows,Ja'Marr Chase WR | CIN ,,13 sec,245.4,182.5
9,Tempe Boozehounds,Dalvin Cook RB | ,,17 sec,232.6,219.4
10,Iowa Ice,Najee Harris RB | NYG ,,10 sec,205.0,173.5
11,Northern Virginia Vandals,Joe Mixon RB | HOU ,,19 sec,240.8,194.2
12,Las Vegas Lechers,Travis Kelce TE | KC,,10 sec,325.5,255.5
Round 2
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Las Vegas Lechers,Saquon Barkley RB | PHI ,,16 sec,290.6,250.2
2,Northern Virginia Vandals,D'Andre Swift RB | CHI,,29 sec,167.1,46.8
3,Iowa Ice,Aaron Jones RB | MIN ,,26 sec,222.1,214.8
4,Tempe Boozehounds,Stefon Diggs WR | WAS ,,59 sec,283.3,243.0
5,Westside Shadows,Leonard Fournette RB | ,,36 sec,192.1,157.2
6,Dr Evil,Nick Chubb RB | HOU ,,12 sec,268.9,207.9
7,Baltimore Ragin' Asians,Javonte Williams RB | DAL,,31 sec,35.1,35.1
8,Oakland Blue Meanies,Davante Adams WR | LAR ,,16 sec,286.0,276.2
9,Roswell Aliens,CeeDee Lamb WR | DAL,,16 sec,280.6,234.8
10,Springfield Psycho Chickens,Mark Andrews TE | BAL ,,8 sec,163.8,154.0
11,Espanola Hornets,Michael Pittman WR | PIT ,,47 sec,168.0,113.1
12,Tulsa Trailer Trash,Deebo Samuel WR | SF ,,31 sec,179.3,129.7
Round 3
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Tulsa Trailer Trash,Josh Allen QB | BUF ,,8 sec,489.3,418.6
2,Espanola Hornets,Travis Etienne RB | NO ,,36 sec,218.7,129.9
3,Springfield Psycho Chickens,James Conner RB | ARI ,,19 sec,178.2,29.3
4,Roswell Aliens,Ezekiel Elliott RB | ,,14 sec,186.4,159.8
5,Oakland Blue Meanies,Tyreek Hill WR | MIA ,,20 sec,300.7,284.5
6,Baltimore Ragin' Asians,Kyle Pitts TE | ATL ,,5 sec,61.6,61.6
7,Dr Evil,Keenan Allen WR | IND ,,57 sec,141.1,105.8
8,Westside Shadows,DJ Moore WR | BUF ,,15 sec,167.9,94.2
9,Tempe Boozehounds,J.K. Dobbins RB | DEN ,,1 min 26 sec,96.2,59.7
10,Iowa Ice,Mike Evans WR | SF ,,9 sec,199.3,186.9
11,Northern Virginia Vandals,A.J. Brown WR | NE ,,10 sec,284.7,246.1
12,Las Vegas Lechers,Courtland Sutton WR | DEN ,,54 sec,127.4,110.2
Round 4
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Las Vegas Lechers,Josh Jacobs RB | GB ,,20 sec,302.8,264.8
2,Northern Virginia Vandals,Tee Higgins WR | CIN ,,18 sec,213.2,110.1
3,Iowa Ice,Allen Robinson WR | DET,,49 sec,68.4,21.6
4,Tempe Boozehounds,Cam Akers RB | SEA,,1 min 42 sec,136.8,47.5
5,Westside Shadows,David Montgomery RB | HOU ,,23 sec,162.7,104.1
6,Dr Evil,Justin Herbert QB | LAC ,,58 sec,350.6,274.9
7,Baltimore Ragin' Asians,Mike Williams WR | LAC ,,13 sec,145.0,139.8
8,Oakland Blue Meanies,Patrick Mahomes QB | KC ,,59 sec,537.6,429.5
9,Roswell Aliens,Darren Waller TE | CAR ,,1 min 1 sec,70.8,66.3
10,Springfield Psycho Chickens,Breece Hall RB | NYJ ,,12 sec,106.6,52.6
11,Espanola Hornets,George Kittle TE | SF ,,12 sec,195.3,94.0
12,Tulsa Trailer Trash,Jaylen Waddle WR | DEN ,,2 min 37 sec,229.4,214.9
Round 5
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Tulsa Trailer Trash,Dalton Schultz TE | HOU ,,54 sec,151.4,11.5
2,Espanola Hornets,Jerry Jeudy WR | CLE,,21 sec,170.7,109.3
3,Springfield Psycho Chickens,Lamar Jackson QB | BAL,,13 sec,260.3,260.3
4,Roswell Aliens,Dameon Pierce RB | PHI ,,48 sec,153.4,55.1
5,Oakland Blue Meanies,AJ Dillon RB | CAR,,18 sec,153.6,17.6
6,Baltimore Ragin' Asians,Diontae Johnson WR | CLE,,42 sec,137.7,17.0
7,Dr Evil,Marquise Brown WR | PHI ,,1 min 3 sec,122.5,88.0
8,Westside Shadows,Gabe Davis WR | BUF,,34 sec,173.3,72.1
9,Tempe Boozehounds,Dallas Goedert TE | PHI ,,38 sec,142.8,98.9
10,Iowa Ice,Terry McLaurin WR | WAS ,,9 sec,191.2,147.7
11,Northern Virginia Vandals,Kyler Murray QB | MIN ,,52 sec,225.9,225.9
12,Las Vegas Lechers,Russell Wilson QB | NYG,,5 sec,262.2,171.9
Round 6
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Las Vegas Lechers,Darnell Mooney WR | NYG,,42 sec,81.9,15.8
2,Northern Virginia Vandals,T.J. Hockenson TE | MIN ,,22 sec,191.3,171.3
3,Iowa Ice,Elijah Mitchell RB | PHI ,,16 sec,57.0,0.0
4,Tempe Boozehounds,Brandin Cooks WR | BUF,,43 sec,117.1,76.4
5,Westside Shadows,Jalen Hurts QB | PHI,,15 sec,502.7,405.8
6,Dr Evil,Chase Edmonds RB | WAS,,44 sec,66.2,0.0
7,Baltimore Ragin' Asians,Joe Burrow QB | CIN ,,6 sec,461.0,325.9
8,Oakland Blue Meanies,Clyde Edwards-Helaire RB | KC,,48 sec,89.8,56.4
9,Roswell Aliens,DK Metcalf WR | PIT ,,25 sec,214.4,130.5
10,Springfield Psycho Chickens,Rashod Bateman WR | BAL ,,15 sec,47.0,40.8
11,Espanola Hornets,Michael Thomas WR | ,,1 min 18 sec,43.1,22.9
12,Tulsa Trailer Trash,Cordarrelle Patterson RB | PIT,,7 sec,145.2,89.0
Round 7
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Tulsa Trailer Trash,Bills DST | BUF ,,24 sec,122.0,95.0
2,Espanola Hornets,Tua Tagovailoa QB | ATL ,,36 sec,267.1,13.5
