Round 1
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Fantasy Reaper,Christian McCaffrey RB | SF ,,,368.1,298.8
2,Espanola chili,Jonathan Taylor RB | IND ,,28 sec,135.4,135.4
3,Santa Fe Southsiders,Austin Ekeler RB | WAS,,8 sec,339.5,314.2
4,Muscle Beach,Derrick Henry RB | BAL,,17 sec,289.3,276.0
5,South Valley Gators,Najee Harris RB | NYG ,,21 sec,205.0,145.3
6,Dewstruction,Alvin Kamara RB | NO ,,25 sec,187.3,135.7
7,Deer Valley Vandals,Dalvin Cook RB | ,,28 sec,232.6,219.4
8,Jew Breez,Justin Jefferson WR | MIN,,14 sec,313.1,299.1
9,Hawks,Cooper Kupp WR | SEA,,14 sec,165.0,165.0
10,Shmickle the Pickle,Leonard Fournette RB | ,,7 sec,192.1,179.6
11,Roswell Aliens,Saquon Barkley RB | PHI ,,46 sec,290.6,256.0
12,Colorado Caribou,Joe Mixon RB | HOU ,,7 sec,240.8,194.2
Round 2
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Colorado Caribou,Davante Adams WR | LAR ,,32 sec,286.0,245.4
2,Roswell Aliens,CeeDee Lamb WR | DAL,,13 sec,280.6,234.8
3,Shmickle the Pickle,Travis Kelce TE | KC,,15 sec,325.5,255.5
4,Hawks,D'Andre Swift RB | CHI,,16 sec,167.1,101.6
5,Jew Breez,Stefon Diggs WR | WAS ,,24 sec,283.3,243.0
6,Deer Valley Vandals,Aaron Jones RB | MIN ,,42 sec,222.1,192.2
7,Dewstruction,Nick Chubb RB | HOU ,,37 sec,268.9,248.2
8,South Valley Gators,Mark Andrews TE | BAL ,,24 sec,163.8,133.5
9,Muscle Beach,Ja'Marr Chase WR | CIN ,,27 sec,245.4,182.5
10,Santa Fe Southsiders,Tyreek Hill WR | MIA ,,22 sec,300.7,284.5
11,Espanola chili,Josh Allen QB | BUF ,,24 sec,489.3,394.7
12,Fantasy Reaper,Deebo Samuel WR | SF ,,13 sec,179.3,139.0
Round 3
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Fantasy Reaper,Javonte Williams RB | DAL,,6 sec,35.1,35.1
2,Espanola chili,Breece Hall RB | NYJ ,,45 sec,106.6,59.0
3,Santa Fe Southsiders,Michael Pittman WR | PIT ,,8 sec,168.0,69.2
4,Muscle Beach,James Conner RB | ARI ,,16 sec,178.2,36.1
5,South Valley Gators,David Montgomery RB | HOU ,,29 sec,162.7,104.8
6,Dewstruction,Keenan Allen WR | IND ,,25 sec,141.1,95.1
7,Deer Valley Vandals,Mike Evans WR | SF ,,40 sec,199.3,186.9
8,Jew Breez,Justin Herbert QB | LAC ,,17 sec,350.6,274.9
9,Hawks,Ezekiel Elliott RB | ,,35 sec,186.4,86.3
10,Shmickle the Pickle,DJ Moore WR | BUF ,,18 sec,167.9,94.6
11,Roswell Aliens,Kyle Pitts TE | ATL ,,35 sec,61.6,20.0
12,Colorado Caribou,Josh Jacobs RB | GB ,,3 sec,302.8,224.8
Round 4
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Colorado Caribou,A.J. Brown WR | NE ,,46 sec,284.7,246.1
2,Roswell Aliens,Travis Etienne RB | NO ,,27 sec,218.7,39.9
3,Shmickle the Pickle,J.K. Dobbins RB | DEN ,,15 sec,96.2,20.7
4,Hawks,Dameon Pierce RB | PHI ,,31 sec,153.4,87.4
5,Jew Breez,Cam Akers RB | SEA,,25 sec,136.8,13.8
6,Deer Valley Vandals,Patrick Mahomes QB | KC ,,36 sec,537.6,452.5
7,Dewstruction,Jerry Jeudy WR | CLE,,30 sec,170.7,66.6
8,South Valley Gators,Lamar Jackson QB | BAL,,7 sec,260.3,260.3
9,Muscle Beach,Terry McLaurin WR | WAS ,,20 sec,191.2,163.5
