Round 1
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Northern Virginia Vandals,Justin Jefferson WR | MIN,,,170.4,139.2
2,Baltimore Ragin' Asians,Ja'Marr Chase WR | CIN ,,37 sec,213.8,184.2
3,Dr Evil,Austin Ekeler RB | WAS,,16 sec,163.9,145.4
4,Iowa Ice,Christian McCaffrey RB | SF ,,6 sec,440.3,359.8
5,Espanola Hornets,Joe Burrow QB | CIN ,,1 min 51 sec,171.2,142.7
6,Tempe Boozehounds,Tyreek Hill WR | MIA ,,4 sec,333.0,300.6
7,Oakland Blue Meanies,Stefon Diggs WR | WAS ,,12 sec,234.3,209.1
8,Westside Shadows,Bijan Robinson RB | ATL ,,15 sec,220.3,171.9
9,Springfield Psycho Chickens,Travis Kelce TE | KC,,27 sec,243.9,173.9
10,Las Vegas Lechers,Davante Adams WR | LAR ,,20 sec,213.9,169.1
11,Tulsa Trailer Trash,Derrick Henry RB | BAL,,15 sec,233.2,211.9
12,Roswell Aliens,CeeDee Lamb WR | DAL,,26 sec,353.7,308.7
Round 2
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Roswell Aliens,Tony Pollard RB | TEN ,,16 sec,214.2,180.6
2,Tulsa Trailer Trash,Josh Jacobs RB | GB ,,25 sec,163.8,163.8
3,Las Vegas Lechers,Josh Allen QB | BUF ,,19 sec,507.2,411.6
4,Springfield Psycho Chickens,Nick Chubb RB | HOU ,,35 sec,21.1,21.1
5,Westside Shadows,Amon-Ra St. Brown WR | DET,,23 sec,317.0,248.5
6,Oakland Blue Meanies,A.J. Brown WR | NE ,,16 sec,238.6,238.2
7,Tempe Boozehounds,Saquon Barkley RB | PHI ,,23 sec,205.2,122.9
8,Espanola Hornets,Joe Mixon RB | HOU ,,42 sec,241.1,139.0
9,Iowa Ice,Garrett Wilson WR | NYJ ,,12 sec,168.6,89.3
10,Dr Evil,Jaylen Waddle WR | DEN ,,6 sec,167.8,147.4
11,Baltimore Ragin' Asians,Jahmyr Gibbs RB | DET ,,58 sec,264.0,201.7
12,Northern Virginia Vandals,Chris Olave WR | NO ,,27 sec,187.8,137.4
Round 3
