Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Roswell Aliens,Saquon Barkley RB | PHI ,,
2,Espanola Hornets,Jahmyr Gibbs RB | DET ,,10 sec
3,Oakland Blue Meanies,Ja'Marr Chase WR | CIN ,,18 sec
4,Baltimore Ragin' Asians,Justin Jefferson WR | MIN,,18 sec
5,Tulsa Trailer Trash,Bijan Robinson RB | ATL ,,9 sec
6,Northern Virginia Vandals,CeeDee Lamb WR | DAL,,33 sec
7,Dr Evil,Derrick Henry RB | BAL,,9 sec
8,Iowa Ice,Christian McCaffrey RB | SF ,,17 sec
9,Springfield Psycho Chickens,Amon-Ra St. Brown WR | DET,,46 sec
10,Tempe Boozehounds,Jonathan Taylor RB | IND ,,41 sec
11,Westside Shadows,Ashton Jeanty RB | LV ,,8 sec
12,Las Vegas Lechers,Nico Collins WR | HOU ,,57 sec
Round 2
Pick,Team,Player,Elig,Elapsed Time,
1,Las Vegas Lechers,Josh Allen QB | BUF ,,6 sec
2,Westside Shadows,Brian Thomas Jr. WR | JAC,,15 sec
3,Tempe Boozehounds,Malik Nabers WR | NYG ,,60 sec
4,Springfield Psycho Chickens,Puka Nacua WR | LAR ,,44 sec
5,Iowa Ice,Chase Brown RB | CIN ,,8 sec
6,Dr Evil,Josh Jacobs RB | GB ,,9 sec
7,Northern Virginia Vandals,Brock Bowers TE | LV ,,28 sec
8,Tulsa Trailer Trash,De'Von Achane RB | MIA ,,27 sec
9,Baltimore Ragin' Asians,A.J. Brown WR | NE ,,47 sec
10,Oakland Blue Meanies,Tee Higgins WR | CIN ,,15 sec
11,Espanola Hornets,Joe Burrow QB | CIN ,,12 sec
12,Roswell Aliens,Kyren Williams RB | LAR,,39 sec
Round 3
Pick,Team,Player,Elig,Elapsed Time,
1,Roswell Aliens,Lamar Jackson QB | BAL,,31 sec
2,Espanola Hornets,James Cook RB | BUF ,,13 sec
3,Oakland Blue Meanies,Alvin Kamara RB | NO ,,31 sec
4,Baltimore Ragin' Asians,Bucky Irving RB | TB ,,15 sec
5,Tulsa Trailer Trash,Drake London WR | ATL ,,24 sec
6,Northern Virginia Vandals,Jayden Daniels QB | WAS ,,30 sec
7,Dr Evil,Ladd McConkey WR | LAC ,,6 sec
8,Iowa Ice,Trey McBride TE | ARI ,,55 sec
9,Springfield Psycho Chickens,Kenneth Walker III RB | KC ,,36 sec
10,Tempe Boozehounds,George Kittle TE | SF ,,47 sec
11,Westside Shadows,Jalen Hurts QB | PHI,,23 sec
12,Las Vegas Lechers,Breece Hall RB | NYJ ,,20 sec
Round 4
Pick,Team,Player,Elig,Elapsed Time,
1,Las Vegas Lechers,DK Metcalf WR | PIT ,,22 sec
2,Westside Shadows,Omarion Hampton RB | LAC ,,2 sec
3,Tempe Boozehounds,Tyreek Hill WR | MIA ,,34 sec
4,Springfield Psycho Chickens,Sam LaPorta TE | DET ,,39 sec
5,Iowa Ice,Davante Adams WR | LAR ,,31 sec
6,Dr Evil,Mike Evans WR | SF ,,10 sec
7,Northern Virginia Vandals,Jaxon Smith-Njigba WR | SEA,,22 sec
8,Tulsa Trailer Trash,Marvin Harrison Jr. WR | ARI ,,26 sec
9,Baltimore Ragin' Asians,TreVeyon Henderson RB | NE ,,43 sec
10,Oakland Blue Meanies,DJ Moore WR | BUF ,,27 sec
11,Espanola Hornets,Deebo Samuel WR | SF ,,7 sec
12,Roswell Aliens,Terry McLaurin WR | WAS ,,25 sec
Round 5
Pick,Team,Player,Elig,Elapsed Time,
1,Roswell Aliens,Tetairoa McMillan WR | CAR ,,1 min 50 sec
2,Espanola Hornets,D'Andre Swift RB | CHI,,41 sec
3,Oakland Blue Meanies,Garrett Wilson WR | NYJ ,,18 sec
4,Baltimore Ragin' Asians,James Conner RB | ARI ,,1 min 1 sec
5,Tulsa Trailer Trash,Patrick Mahomes QB | KC ,,32 sec
6,Northern Virginia Vandals,Courtland Sutton WR | DEN ,,26 sec
7,Dr Evil,David Montgomery RB | HOU ,,19 sec
8,Iowa Ice,Xavier Worthy WR | KC ,,1 min 25 sec
9,Springfield Psycho Chickens,Chuba Hubbard RB | CAR ,,20 sec
10,Tempe Boozehounds,Aaron Jones RB | MIN ,,36 sec
11,Westside Shadows,Jameson Williams WR | DET ,,10 sec
12,Las Vegas Lechers,Travis Kelce TE | KC,,1 min 29 sec
Round 6
Pick,Team,Player,Elig,Elapsed Time,
1,Las Vegas Lechers,Tony Pollard RB | TEN ,,13 sec
2,Westside Shadows,George Pickens WR | DAL,,17 sec
3,Tempe Boozehounds,RJ Harvey RB | DEN ,,18 sec
4,Springfield Psycho Chickens,Isiah Pacheco RB | DET ,,45 sec
5,Iowa Ice,Travis Hunter WR | JAC,,28 sec
6,Dr Evil,Zay Flowers WR | BAL ,,8 sec
7,Northern Virginia Vandals,Kaleb Johnson RB | PIT ,,49 sec
8,Tulsa Trailer Trash,Jerry Jeudy WR | CLE,,24 sec
9,Baltimore Ragin' Asians,T.J. Hockenson TE | MIN ,,45 sec
10,Oakland Blue Meanies,Mark Andrews TE | BAL ,,15 sec
11,Espanola Hornets,Ricky Pearsall WR | SF ,,20 sec
12,Roswell Aliens,Calvin Ridley WR | TEN ,,16 sec
Round 7
Pick,Team,Player,Elig,Elapsed Time,
1,Roswell Aliens,Tyrone Tracy Jr. RB | NYG ,,30 sec
2,Espanola Hornets,Caleb Williams QB | CHI,,51 sec
3,Oakland Blue Meanies,Kyler Murray QB | MIN ,,22 sec
4,Baltimore Ragin' Asians,Baker Mayfield QB | TB ,,44 sec
5,Tulsa Trailer Trash,David Njoku TE | LAC ,,40 sec
6,Northern Virginia Vandals,DeVonta Smith WR | PHI ,,39 sec
7,Dr Evil,Jakobi Meyers WR | JAC ,,19 sec
8,Iowa Ice,Emeka Egbuka WR | TB ,,23 sec
9,Springfield Psycho Chickens,Jaylen Waddle WR | DEN ,,43 sec
10,Tempe Boozehounds,Bo Nix QB | DEN ,,40 sec
11,Westside Shadows,Rome Odunze WR | CHI ,,7 sec
12,Las Vegas Lechers,Austin Ekeler RB | WAS,,56 sec
Round 8
Pick,Team,Player,Elig,Elapsed Time,
1,Las Vegas Lechers,Khalil Shakir WR | BUF ,,1 min 30 sec
2,Westside Shadows,Jordan Addison WR | MIN ,,15 sec
3,Tempe Boozehounds,Rashee Rice WR | KC,,26 sec
4,Springfield Psycho Chickens,Dak Prescott QB | DAL ,,21 sec
5,Iowa Ice,Brock Purdy QB | SF ,,7 sec
6,Dr Evil,Jaylen Warren RB | PIT ,,7 sec
7,Northern Virginia Vandals,Jordan Mason RB | MIN ,,57 sec
8,Tulsa Trailer Trash,Stefon Diggs WR | WAS ,,1 min 51 sec
9,Baltimore Ragin' Asians,Chris Olave WR | NO ,,8 sec
10,Oakland Blue Meanies,Joe Mixon RB | HOU ,,18 sec
11,Espanola Hornets,Michael Pittman WR | PIT ,,1 min 3 sec
12,Roswell Aliens,Travis Etienne RB | NO ,,23 sec
Round 9
Pick,Team,Player,Elig,Elapsed Time,
1,Roswell Aliens,Keon Coleman WR | BUF ,,1 min 12 sec
2,Espanola Hornets,Tyler Warren TE | IND ,,12 sec
3,Oakland Blue Meanies,Cooper Kupp WR | SEA,,24 sec
4,Baltimore Ragin' Asians,Matthew Golden WR | GB ,,13 sec
5,Tulsa Trailer Trash,Eagles DST | PHI ,,33 sec
6,Northern Virginia Vandals,J.K. Dobbins RB | DEN ,,13 sec
7,Dr Evil,Jared Goff QB | DET ,,9 sec
8,Iowa Ice,Jacory Croskey-Merritt RB | WAS ,,14 sec
9,Springfield Psycho Chickens,Justin Fields QB | KC ,,2 min 25 sec
10,Tempe Boozehounds,Jordan Love QB | GB ,,40 sec
11,Westside Shadows,Tucker Kraft TE | GB ,,10 sec
12,Las Vegas Lechers,Javonte Williams RB | DAL,,13 sec
Round 10
Pick,Team,Player,Elig,Elapsed Time,
1,Las Vegas Lechers,Broncos DST | DEN ,,23 sec
2,Westside Shadows,Zach Charbonnet RB | SEA ,,6 sec
3,Tempe Boozehounds,Jauan Jennings WR | MIN ,,1 min 33 sec
4,Springfield Psycho Chickens,Rhamondre Stevenson RB | NE ,,36 sec
5,Iowa Ice,Evan Engram TE | DEN,,3 sec
6,Dr Evil,Chris Godwin WR | TB ,,23 sec
7,Northern Virginia Vandals,Quinshon Judkins RB | CLE ,,21 sec
8,Tulsa Trailer Trash,C.J. Stroud QB | HOU ,,36 sec
9,Baltimore Ragin' Asians,Bhayshul Tuten RB | JAC,,58 sec
10,Oakland Blue Meanies,Tank Bigsby RB | PHI ,,30 sec
11,Espanola Hornets,Cam Skattebo RB | NYG ,,15 sec
12,Roswell Aliens,Jake Ferguson TE | DAL ,,1 min 3 sec
Round 11
Pick,Team,Player,Elig,Elapsed Time,
1,Roswell Aliens,Brandon Aubrey K | DAL ,,11 sec
2,Espanola Hornets,Matt Gay K | LV ,,1 min 14 sec
3,Oakland Blue Meanies,Ravens DST | BAL ,,19 sec
4,Baltimore Ragin' Asians,Braelon Allen RB | NYJ ,,15 sec
5,Tulsa Trailer Trash,Dallas Goedert TE | PHI ,,1 min 20 sec
6,Northern Virginia Vandals,Drake Maye QB | NE ,,40 sec
7,Dr Evil,Steelers DST | PIT ,,6 sec
8,Iowa Ice,Cameron Dicker K | LAC ,,31 sec
9,Springfield Psycho Chickens,Josh Downs WR | IND ,,1 min 36 sec
10,Tempe Boozehounds,Brian Robinson Jr. RB | ATL ,,17 sec
11,Westside Shadows,Bills DST | BUF ,,11 sec
12,Las Vegas Lechers,Hunter Henry TE | NE,,19 sec
Round 12
Pick,Team,Player,Elig,Elapsed Time,
1,Las Vegas Lechers,Justin Herbert QB | LAC ,,30 sec
2,Westside Shadows,Evan McPherson K | CIN,,14 sec
3,Tempe Boozehounds,Cowboys DST | DAL ,,2 min 30 sec
4,Springfield Psycho Chickens,Daniel Carlson K | LV,,1 min 3 sec
5,Iowa Ice,Tua Tagovailoa QB | ATL ,,1 sec
6,Dr Evil,Kyle Pitts TE | ATL ,,6 sec
7,Northern Virginia Vandals,Jake Bates K | DET,,23 sec
8,Tulsa Trailer Trash,Jason Sanders K | NYJ,,4 sec
9,Baltimore Ragin' Asians,Vikings DST | MIN ,,8 sec
10,Oakland Blue Meanies,Chase McLaughlin K | TB,,7 sec
11,Espanola Hornets,Rashid Shaheed WR | SEA ,,11 sec
12,Roswell Aliens,Trevor Lawrence QB | JAC ,,17 sec
Round 13
Pick,Team,Player,Elig,Elapsed Time,
1,Roswell Aliens,Chiefs DST | KC ,,1 min 1 sec (8 min 18 sec)
2,Espanola Hornets,Colts DST | IND ,,39 sec (6 min 8 sec)
3,Oakland Blue Meanies,Michael Penix Jr. QB | ATL ,,16 sec (4 min 20 sec)
4,Baltimore Ragin' Asians,Wil Lutz K | DEN,,4 sec (6 min 19 sec)
5,Tulsa Trailer Trash,Darnell Mooney WR | NYG,,1 min 24 sec (8 min 50 sec)
6,Northern Virginia Vandals,Texans DST | HOU ,,9 sec (6 min 30 sec)
7,Dr Evil,Chris Boswell K | PIT,,2 sec (2 min 13 sec)
8,Iowa Ice,Chargers DST | LAC ,,5 sec (5 min 8 sec)
9,Springfield Psycho Chickens,Packers DST | GB ,,38 sec (11 min 12 sec)
10,Tempe Boozehounds,Jake Elliott K | PHI,,18 sec (10 min 20 sec)
11,Westside Shadows,Geno Smith QB | NYJ ,,14 sec (2 min 32 sec)
12,Las Vegas Lechers,Younghoe Koo K | NYJ,,7 sec (7 min 25 sec)
