Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Colorado Caribou,Ja'Marr Chase WR | CIN ,,
2,Espanola chili,Brock Bowers TE | LV ,,3 min 33 sec
3,Roswell Aliens,CeeDee Lamb WR | DAL,,17 sec
4,Shmickle the Pickle,Saquon Barkley RB | PHI ,,46 sec
5,Bear with me ,Bijan Robinson RB | ATL ,,37 sec
6,Deer Valley Vandals,Justin Jefferson WR | MIN,,23 sec
7,Santa Fe Southsiders,Jahmyr Gibbs RB | DET ,,5 min 26 sec
8,Heisenberg,Amon-Ra St. Brown WR | DET,,60 sec
9,Muscle Beach,Ashton Jeanty RB | LV ,,35 sec
10,Big Ditka Energy,Derrick Henry RB | BAL,,1 min 20 sec
11,Alaska Fornicating Polar Bears,Kyren Williams RB | LAR,,41 sec
12,Jew Breez,Christian McCaffrey RB | SF ,,13 sec
Round 2
Pick,Team,Player,Elig,Elapsed Time,
1,Jew Breez,Malik Nabers WR | NYG ,,18 sec
2,Alaska Fornicating Polar Bears,Josh Jacobs RB | GB ,,41 sec
3,Big Ditka Energy,Nico Collins WR | HOU ,,2 min 21 sec
4,Muscle Beach,Jonathan Taylor RB | IND ,,1 min 51 sec
5,Heisenberg,Lamar Jackson QB | BAL,,23 sec
6,Santa Fe Southsiders,De'Von Achane RB | MIA ,,13 sec
7,Deer Valley Vandals,Puka Nacua WR | LAR ,,23 sec
8,Bear with me ,Brian Thomas Jr. WR | JAC,,1 min 7 sec
9,Shmickle the Pickle,Chase Brown RB | CIN ,,1 min 28 sec
10,Roswell Aliens,Bucky Irving RB | TB ,,20 sec
11,Espanola chili,Alvin Kamara RB | NO ,,27 sec
12,Colorado Caribou,Mike Evans WR | SF ,,17 sec
Round 3
Pick,Team,Player,Elig,Elapsed Time,
1,Colorado Caribou,James Cook RB | BUF ,,47 sec
2,Espanola chili,Xavier Worthy WR | KC ,,1 min 57 sec
3,Roswell Aliens,Kenneth Walker III RB | KC ,,38 sec
4,Shmickle the Pickle,Ladd McConkey WR | LAC ,,2 min 48 sec
5,Bear with me ,Tee Higgins WR | CIN ,,1 min 33 sec
6,Deer Valley Vandals,Drake London WR | ATL ,,16 sec
7,Santa Fe Southsiders,Trey McBride TE | ARI ,,23 sec
8,Heisenberg,George Kittle TE | SF ,,2 min 16 sec
9,Muscle Beach,A.J. Brown WR | NE ,,5 sec
10,Big Ditka Energy,Josh Allen QB | BUF ,,55 sec
11,Alaska Fornicating Polar Bears,Joe Burrow QB | CIN ,,26 sec
12,Jew Breez,Davante Adams WR | LAR ,,22 sec
Round 4
Pick,Team,Player,Elig,Elapsed Time,
1,Jew Breez,Breece Hall RB | NYJ ,,13 sec
2,Alaska Fornicating Polar Bears,Tyreek Hill WR | MIA ,,26 sec
3,Big Ditka Energy,Jaxon Smith-Njigba WR | SEA,,3 min 32 sec
4,Muscle Beach,Jalen Hurts QB | PHI,,13 sec
5,Heisenberg,George Pickens WR | DAL,,21 sec
6,Santa Fe Southsiders,Jayden Daniels QB | WAS ,,7 sec
7,Deer Valley Vandals,Sam LaPorta TE | DET ,,23 sec
8,Bear with me ,Joe Mixon RB | HOU ,,1 min 36 sec
9,Shmickle the Pickle,DK Metcalf WR | PIT ,,1 min 31 sec
10,Roswell Aliens,Marvin Harrison Jr. WR | ARI ,,42 sec
11,Espanola chili,Jaxson Dart QB | NYG ,,47 sec
12,Colorado Caribou,Chuba Hubbard RB | CAR ,,8 sec
Round 5
Pick,Team,Player,Elig,Elapsed Time,
1,Colorado Caribou,Terry McLaurin WR | WAS ,,1 sec
2,Espanola chili,Deebo Samuel WR | SF ,,2 min 14 sec
3,Roswell Aliens,Travis Kelce TE | KC,,30 sec
4,Shmickle the Pickle,James Conner RB | ARI ,,2 min 56 sec
5,Bear with me ,D'Andre Swift RB | CHI,,56 sec
6,Deer Valley Vandals,Omarion Hampton RB | LAC ,,11 sec
7,Santa Fe Southsiders,Garrett Wilson WR | NYJ ,,3 sec
8,Heisenberg,Isiah Pacheco RB | DET ,,47 sec
9,Muscle Beach,Courtland Sutton WR | DEN ,,4 sec
10,Big Ditka Energy,DJ Moore WR | BUF ,,1 min 23 sec
11,Alaska Fornicating Polar Bears,Zay Flowers WR | BAL ,,5 sec
12,Jew Breez,Aaron Jones RB | MIN ,,16 sec
Round 6
Pick,Team,Player,Elig,Elapsed Time,
1,Jew Breez,Jameson Williams WR | DET ,,18 sec
2,Alaska Fornicating Polar Bears,Mark Andrews TE | BAL ,,44 sec
3,Big Ditka Energy,Quinshon Judkins RB | CLE ,,23 sec
4,Muscle Beach,T.J. Hockenson TE | MIN ,,5 sec
5,Heisenberg,David Montgomery RB | HOU ,,4 sec
6,Santa Fe Southsiders,DeVonta Smith WR | PHI ,,8 sec
7,Deer Valley Vandals,TreVeyon Henderson RB | NE ,,34 sec
8,Bear with me ,David Njoku TE | LAC ,,1 min 32 sec
9,Shmickle the Pickle,Tyler Warren TE | IND ,,1 min 12 sec
10,Roswell Aliens,Tony Pollard RB | TEN ,,1 min 3 sec
11,Espanola chili,Tetairoa McMillan WR | CAR ,,7 sec
12,Colorado Caribou,Zach Ertz TE | WAS,,44 sec
Round 7
Pick,Team,Player,Elig,Elapsed Time,
1,Colorado Caribou,Tyrone Tracy Jr. RB | NYG ,,50 sec
2,Espanola chili,LaJohntay Wester WR | BAL,,21 sec
3,Roswell Aliens,Dak Prescott QB | DAL ,,26 sec
4,Shmickle the Pickle,Calvin Ridley WR | TEN ,,1 min 5 sec
5,Bear with me ,Rashee Rice WR | KC,,1 min 24 sec
6,Deer Valley Vandals,RJ Harvey RB | DEN ,,19 sec
